Platform,Domain,Title,Organization,Rating,Learners,Duration,Difficulty,Price,Duration_Months,Is_Paid,Difficulty_Clean,Difficulty_Encoded,Success_Label
Coursera,Data Science,"Python for Data Science, AI & Development",IBM,4.6,43000.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,What is Data Science?,IBM,4.7,77000.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,1
Coursera,Data Science,IBM Data Science,IBM,4.6,149000.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,1
Coursera,Data Science,Databases and SQL for Data Science with Python,IBM,4.7,23000.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,Foundations of Data Science,Google,4.7,3800.0,1 - 3 Months,Advanced,Paid / Subscription,1.0,1,advanced,2.0,0
Coursera,Data Science,Data Science,Johns Hopkins University,4.5,51000.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,1
Coursera,Data Science,Introduction to Data Science,IBM,4.6,101000.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,1
Coursera,Data Science,Introduction to Data Science in Python,University of Michigan,4.5,27000.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,1
Coursera,Data Science,Python Project for Data Science,IBM,4.5,4800.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,0
Coursera,Data Science,SQL for Data Science,"University of California, Davis",4.6,17000.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,1
Coursera,Data Science,Applied Data Science with Python,University of Michigan,4.5,34000.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,1
Coursera,Data Science,Data Science Foundations,Multiple educators,4.6,117000.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,1
Coursera,Data Science,Mathematics for Machine Learning and Data Science,DeepLearning.AI,4.6,3100.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,0
Coursera,Data Science,Data Science Methodology,IBM,4.6,21000.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,1
Coursera,Data Science,Data Science Fundamentals with Python and SQL,IBM,4.6,75000.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,1
Coursera,Data Science,Advanced Statistics for Data Science,Johns Hopkins University,4.4,7950.0,3 - 6 Months,Advanced,Paid / Subscription,3.0,1,advanced,2.0,0
Coursera,Data Science,Data Science Beyond the Basics (ML+DS),Coursera,4.3,7950.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,0
Coursera,Data Science,Applied Data Science,IBM,4.6,61000.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,1
Coursera,Data Science,Data Science Math Skills,Duke University,4.5,13000.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,1
Coursera,Data Science,Probability & Statistics for Machine Learning & Data Science,DeepLearning.AI,4.6,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,1
Coursera,Data Science,Data Science Challenge,Coursera,4.7,7950.0,2 Hours,Intermediate,Paid / Subscription,0.002777777777777778,1,intermediate,1.0,1
Coursera,Data Science,A Crash Course in Data Science,Johns Hopkins University,4.5,8400.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,1
Coursera,Data Science,Genomic Data Science,Johns Hopkins University,4.5,6800.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,0
Coursera,Data Science,Statistics for Data Science with Python,IBM,4.5,7950.0,1 - 3 Months,,Paid / Subscription,1.0,1,,0.0,1
Coursera,Data Science,Master of Science in Data Science,University of Colorado Boulder,4.6,7950.0,18 months,,Paid / Subscription,18.0,1,,0.0,1
Coursera,Data Science,Data Science: Foundations using R,Johns Hopkins University,4.6,48000.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,1
Coursera,Data Science,Data Science: Statistics and Machine Learning,Johns Hopkins University,4.4,7200.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,0
Coursera,Data Science,Clinical Data Science,University of Colorado System,4.5,7950.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,1
Coursera,Data Science,"Python, SQL, Tableau for Data Science",Coursera,3.8,7950.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,0
Coursera,Data Science,Executive Data Science,Johns Hopkins University,4.5,11000.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,Mathematical Foundations for Data Science and Analytics,University of Pittsburgh,4.5,7950.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,Data Science Coding Challenge: Loan Default Prediction,Coursera,4.7,7950.0,2 Hours,Intermediate,Paid / Subscription,0.002777777777777778,1,intermediate,1.0,1
Coursera,Data Science,Linear Algebra for Machine Learning and Data Science,DeepLearning.AI,4.6,2300.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,0
Coursera,Data Science,Data Science Fundamentals,"University of California, Irvine",4.3,7950.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,0
Coursera,Data Science,Statistics For Data Science,Coursera,4.6,7950.0,2 Hours,Beginner,Paid / Subscription,0.002777777777777778,1,beginner,0.0,1
Coursera,Data Science,Tools for Data Science,IBM,4.5,30000.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,Practical Data Science for Data Analysts,Corporate Finance Institute,4.8,7950.0,3 - 6 Months,Advanced,Paid / Subscription,3.0,1,advanced,2.0,1
Coursera,Data Science,"Data Science Fundamentals, Part 1",Pearson,4.6,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,1
Coursera,Data Science,Python for Data Science: Real Projects & Analytics,EDUCBA,4.6,7950.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,1
Coursera,Data Science,Expressway to Data Science: Python Programming,University of Colorado Boulder,4.7,7950.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,Data Science Ethics,University of Michigan,4.7,1300.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,0
Coursera,Data Science,Probability Foundations for Data Science and AI,University of Colorado Boulder,4.5,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,1
Coursera,Data Science,Data Science for Marketing,University of Colorado System,4.9,7950.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,1
Coursera,Data Science,Statistical Modeling for Data Science Applications,University of Colorado Boulder,4.2,7950.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,0
Coursera,Data Science,IntroducciÃ³n a Data Science: ProgramaciÃ³n EstadÃ­stica con R,Universidad Nacional AutÃ³noma de MÃ©xico,4.7,8600.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,Data Science for Health Research,University of Michigan,4.6,7950.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,Data Science: Data Storytelling and Presentation Skills,University of Leeds,4.6,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,1
Coursera,Data Science,Data Science Foundations: Statistical Inference,University of Colorado Boulder,4.4,7950.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,0
Coursera,Data Science,Data Science at Scale,University of Washington,4.2,7950.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,0
Coursera,Data Science,Applied Data Science Capstone,IBM,4.7,7400.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,0
Coursera,Data Science,Data Science for Professionals,Coursera,4.7,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,1
